time	experiment	replicate	glucose
48	bhbt	C	3.497631916
60	bhbt	C	1.021972148
72	bhbt	C	0.559527169
96	bhbt	C	0.548545758
120	bhbt	C	0.544527979
17	bhwc1	A	7.997221408
18	bhwc1	A	7.965419581
20	bhwc1	A	7.971394847
22	bhwc1	A	7.973366527
38	bhwc1	A	8.184941495
40	bhwc1	A	8.211277226
42	bhwc1	A	8.243782944
44	bhwc1	A	9.27724672
46	bhwc1	A	8.845363296
62	bhwc1	A	1.76118464
64	bhwc1	A	0.938755912
66	bhwc1	A	0.438744977
68	bhwc1	A	0.332110504
70	bhwc1	A	0.299272519
86	bhwc1	A	0.1684998
88	bhwc1	A	0.174672395
90	bhwc1	A	0.162005984
17	bhwc1	B	6.933942694
18	bhwc1	B	6.920314283
20	bhwc1	B	6.960725593
22	bhwc1	B	6.967166844
38	bhwc1	B	7.420684684
40	bhwc1	B	8.844707476
42	bhwc1	B	8.570498568
44	bhwc1	B	8.26088934
46	bhwc1	B	8.031431149
62	bhwc1	B	1.823923378
64	bhwc1	B	0.953731599
66	bhwc1	B	0.457521648
68	bhwc1	B	0.319397245
70	bhwc1	B	0.259141855
86	bhwc1	B	0.160352639
88	bhwc1	B	0.153741202
90	bhwc1	B	0.145972935
17	bhwctreh	A	6.954506983
18	bhwctreh	A	6.917871123
20	bhwctreh	A	6.934109994
22	bhwctreh	A	6.909763538
38	bhwctreh	A	8.635383445
40	bhwctreh	A	8.520577388
42	bhwctreh	A	8.521294656
44	bhwctreh	A	8.484161782
46	bhwctreh	A	8.45355775
62	bhwctreh	A	8.307735851
64	bhwctreh	A	8.303968894
66	bhwctreh	A	8.335657597
68	bhwctreh	A	8.273339384
70	bhwctreh	A	8.316025944
86	bhwctreh	A	8.38336253
88	bhwctreh	A	8.382421401
90	bhwctreh	A	8.357434335
17	bhwctreh	B	6.805375619
18	bhwctreh	B	6.806743156
20	bhwctreh	B	6.786516519
22	bhwctreh	B	6.81021387
38	bhwctreh	B	8.882814949
40	bhwctreh	B	8.639283621
42	bhwctreh	B	8.569001976
44	bhwctreh	B	8.560164413
46	bhwctreh	B	8.527985968
62	bhwctreh	B	8.46858295
64	bhwctreh	B	8.457057051
66	bhwctreh	B	8.396911843
68	bhwctreh	B	8.394775306
70	bhwctreh	B	8.39294356
86	bhwctreh	B	8.599990453
88	bhwctreh	B	8.527090466
90	bhwctreh	B	8.542187438
