time	experiment	replicate	lactate
18	bhwc1	A	0.201455262
20	bhwc1	A	0.281366674
22	bhwc1	A	0.378143539
38	bhwc1	A	4.407080595
40	bhwc1	A	4.515715697
42	bhwc1	A	4.573105462
44	bhwc1	A	4.593698157
46	bhwc1	A	4.630988233
62	bhwc1	A	4.332434614
64	bhwc1	A	4.374298845
66	bhwc1	A	4.385963033
68	bhwc1	A	4.385626443
70	bhwc1	A	4.405101798
86	bhwc1	A	1.595612123
88	bhwc1	A	1.667265653
90	bhwc1	A	1.650499001
17	bhwc1	B	0.197260435
18	bhwc1	B	0.268246448
20	bhwc1	B	0.385141985
22	bhwc1	B	0.516875666
38	bhwc1	B	4.745744227
40	bhwc1	B	4.878904418
42	bhwc1	B	4.854902309
44	bhwc1	B	4.79035524
46	bhwc1	B	4.658172846
62	bhwc1	B	4.679009991
64	bhwc1	B	4.674324045
66	bhwc1	B	4.646643761
68	bhwc1	B	4.689858792
70	bhwc1	B	4.705010768
86	bhwc1	B	4.776466474
88	bhwc1	B	4.791518317
90	bhwc1	B	4.809856905
17	bhwctreh	A	0.190833592
18	bhwctreh	A	0.242140653
20	bhwctreh	A	0.348368339
22	bhwctreh	A	0.467182615
38	bhwctreh	A	5.962689942
40	bhwctreh	A	6.134875888
42	bhwctreh	A	6.22276643
44	bhwctreh	A	6.386128108
46	bhwctreh	A	6.615421181
62	bhwctreh	A	7.877239232
64	bhwctreh	A	7.891028863
66	bhwctreh	A	7.962353131
68	bhwctreh	A	7.908860235
70	bhwctreh	A	7.971069161
86	bhwctreh	A	8.212209925
88	bhwctreh	A	8.230084591
90	bhwctreh	A	8.224307171
17	bhwctreh	B	0.201302065
18	bhwctreh	B	0.260986012
20	bhwctreh	B	0.371419849
22	bhwctreh	B	0.501357016
38	bhwctreh	B	5.094751332
40	bhwctreh	B	5.294873113
42	bhwctreh	B	5.370127442
44	bhwctreh	B	5.458221803
46	bhwctreh	B	5.624244782
62	bhwctreh	B	7.481410857
64	bhwctreh	B	7.506793184
66	bhwctreh	B	7.486654751
68	bhwctreh	B	7.502369782
70	bhwctreh	B	7.5144748
86	bhwctreh	B	7.764182615
88	bhwctreh	B	7.700411634
90	bhwctreh	B	7.73390131
