time	experiment	replicate	trehalose
44	bhwctreh	B	2.399858322
46	bhwctreh	B	2.063602607
62	bhwctreh	B	0.091498192
64	bhwctreh	B	0.068005482
66	bhwctreh	B	0.06606613
68	bhwctreh	B	0.066416025
70	bhwctreh	B	0.066468568
86	bhwctreh	B	0.076503732
88	bhwctreh	B	0.068067413
90	bhwctreh	B	0.068519507
